Unnamed: 0.1,Unnamed: 0,id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,imdb_rating,where_to_watch
1500,2104,11978,Men of Honor,7.46,2066,Released,2000-09-13,82343495,129,False,/laNHiehbOHYM3y9FVFfqmLuX8X5.jpg,32000000,,tt0203019,en,Men of Honor,"Against formidable odds -- and an old-school diving instructor embittered by the U.S. Navy's new, less prejudicial policies -- Carl Brashear sets his sights on becoming the Navy's first African-American master diver in this uplifting true story. Their relationship starts out on the rocks, but fate ultimately conspires to bring the men together into a setting of mutual respect, triumph and honor.",24.164,/wNUAnXV1mzOOfvnVBIYsalkk078.jpg,History is made by those who break the rules.,Drama,Fox 2000 Pictures,United States of America,English,"diving, u.s. navy",7.2,['Amazon Prime Video']
1502,2109,4977,Paprika,7.805,2060,Released,2006-10-01,946590,90,False,/3IkChGhTllTULVWht55UDFHTg6Q.jpg,0,https://www.sonypictures.com/movies/paprika,tt0851578,ja,パプリカ,"When a machine that allows therapists to enter their patient's dreams is stolen, all hell breaks loose. Only a young female therapist can stop it: Paprika.",24.982,/bLUUr474Go1DfeN1HLjE3rnZXBq.jpg,,"Animation, Mystery, Science Fiction, Thriller","Paprika Film Partners, Madhouse, Sony Pictures",Japan,"English, Japanese","research, japan, dream, procession, psychoanalysis, mad scientist, dream girl, parallel world, adult animation, dream world, anime",7.7,['Amazon Prime Video']
1503,2110,37472,Ip Man 2,7.5,2058,Released,2010-04-29,36000000,108,False,/6Zo212BjDdDMqRIqcaiWXn10hty.jpg,12902809,http://www.ipman2-movie.com/,tt1386932,cn,葉問2,"Having defeated the best fighters of the Imperial Japanese army in occupied Shanghai, Ip Man and his family settle in post-war Hong Kong. Struggling to make a living, Master Ip opens a kung fu school to bring his celebrated art of Wing Chun to the troubled youth of Hong Kong. His growing reputation soon brings challenges from powerful enemies, including pre-eminent Hung Gar master, Hung Quan.",4.28,/yB5v6wRhIoZxlDvCFFCQhUNezDY.jpg,Behind every great martial artist lies a teacher.,"Action, History, Drama","Mandarin Films, Golden Harvest Company, Henan Film & TV Production Group Henan Film Studio, Beijing ShengShi HuaRei Film Investment & Management Co., Desen International Media, Prosperity Pictures, Foshan Pearl River Media Group, Donlord Skykee Film Investment, Teng Yuan Film & TV Media, Beijing Baron Stars Culture Media, Shenzhen Haiguchi Investment, Beijing Xinyinglian Cinema Circuit","China, Hong Kong","Mandarin, Cantonese, English","martial arts, army, sports, hong kong, master, wing chun, labor, grandmaster",7.5,"['Netflix', 'Amazon Prime Video']"
1504,2111,422,8½,8.173,2057,Released,1963-02-14,0,139,False,/hiXMQiwpa0fqPJxWLSMWTbpiWn8.jpg,0,,tt0056801,it,8½,"Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers—his producer, staff, actors, wife, mistress, and relatives—each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood.",14.255,/60rbYRidGzWjb6cjZ2elIiztvpp.jpg,A picture that goes beyond what men think about - because no man ever thought about it in quite this way!,"Fantasy, Drama","Cineriz, Francinex","Italy, France","German, English, French, Italian","dying and death, adultery, depression, individual, unsociability, screenplay, suicide attempt, missile, scapegoat, movie business, allegory, difficult childhood, creative crisis, kurort, black and white, extramarital affair, existence",8.0,['Amazon Prime Video']
1505,2112,318121,The Fundamentals of Caring,7.31,2057,Released,2016-06-16,0,97,False,/9kAKDdnHvhS93eMTqsXwiVaBtw7.jpg,0,https://www.netflix.com/title/80097349,tt2452386,en,The Fundamentals of Caring,"Having suffered a tragedy, Ben becomes a caregiver to earn money. His first client, Trevor, is a hilarious 18-year-old with muscular dystrophy. One paralyzed emotionally, one paralyzed physically, Ben and Trevor hit the road on a trip into the western states. The folks they collect along the way will help them test their skills for surviving outside their calculated existence. Together, they come to understand the importance of hope and the necessity of true friendship.",10.564,/zZ0eda1GyHILNSoq9KF5u0hcq6O.jpg,Caring is a funny thing.,"Comedy, Drama","Worldwide Pants, Levantine Entertainment",United States of America,English,"wheelchair, road trip, caregiver, disability, muscular dystrophy",7.3,"['Netflix', 'Amazon Prime Video']"
1509,2120,483184,Dogman,7.567,2045,Released,2018-05-17,5080147,103,False,/mgfxkCJLvudtnTOJml5mFbHWbk0.jpg,0,https://www.curzonartificialeye.com/Dogman/,tt6768578,it,Dogman,"Marcello, a small and gentle dog groomer, finds himself involved in a dangerous relationship of subjugation with Simone, a former violent boxer who terrorizes the entire neighborhood. In an effort to reaffirm his dignity, Marcello will submit to an unexpected act of vengeance.",8.707,/eaZq1G8sJHv9f9a5IzioQlS3REX.jpg,,"Crime, Drama, Thriller","Archimede, Le Pacte, RAI",Italy,Italian,"italy, robber, cocaine, revenge, dog cage, father daughter relationship",7.2,['Amazon Prime Video']
1511,2127,522212,Just Mercy,7.903,2036,Released,2019-12-25,50401502,137,False,/3gVo3f5We49VKk5BKEIRkxcibwz.jpg,25000000,,tt4916630,en,Just Mercy,"The powerful true story of Harvard-educated lawyer Bryan Stevenson, who goes to Alabama to defend the disenfranchised and wrongly condemned — including Walter McMillian, a man sentenced to death despite evidence proving his innocence. Bryan fights tirelessly for Walter with the system stacked against them.",14.476,/4YJNp1cquIkX8JxFwkKNEFQ9tgr.jpg,Every generation has its hero. Meet ours.,"Drama, Crime, History","Netter Productions, Outlier Society Productions, Endeavor Content, MACRO, One Community, Participant, Warner Bros. Pictures",United States of America,English,"judge, innocence, based on true story, lawyer, racism, justice, 1980s, legal drama",7.6,['Amazon Prime Video']
1514,2133,79,Hero,7.509,2032,Released,2002-07-22,177394432,99,False,/jDz6RYN3nKYtlo7J9IMvGoJit7B.jpg,31000000,,tt0299977,zh,英雄,"During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.",21.472,/1NBtOH3KPU9UUp1vzVHJ8qzdW88.jpg,One man's strength will unite an empire.,"Drama, Adventure, Action, History","Beijing New Picture Film Co. Ltd., China Film Co-Production Corporation, Miramax",China,Mandarin,"martial arts, kung fu, right and justice, countryside, loss of loved one, patriot, wuxia, warring states period, 3rd century bc",7.9,['Amazon Prime Video']
1517,2139,12102,Kramer vs. Kramer,7.555,2026,Released,1979-12-07,106260000,105,False,/9pUh1fC8TqVtYPeKpdfNyVK0qnn.jpg,8000000,,tt0079417,en,Kramer vs. Kramer,"Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy.",15.286,/6IVQjDTbr7pXx2AR8jovbYwpyiF.jpg,There are three sides to this love story.,Drama,Columbia Pictures,United States of America,English,"husband wife relationship, marriage, custody battle, divorce, family, couple, selfishness, manhattan, new york city, child custody, abandonment",7.8,['Amazon Prime Video']
1521,2149,284,The Apartment,8.222,2016,Released,1960-06-21,25000000,125,False,/vRTKNKNWLZ22fAgPa5kY8wT2b1F.jpg,3000000,,tt0053604,en,The Apartment,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",24.186,/hhSRt1KKfRT0yEhEtRW3qp31JFU.jpg,"Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!","Comedy, Drama, Romance","The Mirisch Company, United Artists",United States of America,English,"new year's eve, new york city, lovesickness, clerk, winter, age difference, suicide attempt, office, flat, spaghetti, tennis racket, romantic comedy, black and white, extramarital affair, christmas",8.3,['Amazon Prime Video']
